,Time,Frame type,Frame size,pmu index,Frequency,ROCOF
0,1727774852.9928315,0,42,0,17008,0.0
1,1727774853.0263696,0,42,0,17008,0.0
2,1727774853.0596519,0,42,0,17008,0.0
3,1727774836.314644,0,42,0,17008,0.0
4,1727774869.904506,0,42,0,17008,0.0
5,1727774869.937788,0,42,0,17008,0.0
6,1727774853.1930363,0,42,0,17008,0.0
7,1727774853.2263186,0,42,0,17008,0.0
8,1727774853.2596006,0,42,0,17008,0.0
9,1727774853.2928827,0,42,0,17008,0.0
10,1727774836.5478752,0,42,0,17008,0.0
11,1727774870.1377368,0,42,0,17008,0.0
12,1727774870.171275,0,42,0,17008,0.0
13,1727774853.4262674,0,42,0,17008,0.0
14,1727774853.4595494,0,42,0,17008,0.0
15,1727774853.4928315,0,42,0,17008,0.0
16,1727774853.5261137,0,42,0,17008,0.0
17,1727774836.781362,0,42,0,17008,0.0
18,1727774870.3712237,0,42,0,17008,0.0
19,1727774870.404506,0,42,0,17008,0.0
20,1727774853.6594982,0,42,0,17008,0.0
21,1727774853.6927803,0,42,0,17008,0.0
22,1727774853.7263186,0,42,0,17008,0.0
23,1727774853.7596006,0,42,0,17008,0.0
24,1727774870.5711725,0,42,0,17008,0.0
25,1727774870.6044548,0,42,0,17008,0.0
26,1727774853.859447,0,42,0,17008,0.0
27,1727774853.892985,0,42,0,17008,0.0
28,1727774853.9262674,0,42,0,17008,0.0
29,1727774853.9595494,0,42,0,17008,0.0
30,1727774853.9928315,0,42,0,17008,0.0
31,1727774837.2480798,0,42,0,17008,0.0
32,1727774870.8379416,0,42,0,17008,0.0
33,1727774870.8712237,0,42,0,17008,0.0
34,1727774854.1262162,0,42,0,17008,0.0
35,1727774854.1594982,0,42,0,17008,0.0
36,1727774854.1930363,0,42,0,17008,0.0
37,1727774854.2263186,0,42,0,17008,0.0
38,1727774871.0378904,0,42,0,17008,0.0
39,1727774871.0711725,0,42,0,17008,0.0
40,1727774871.1044548,0,42,0,17008,0.0
41,1727774854.359447,0,42,0,17008,0.0
42,1727774854.392985,0,42,0,17008,0.0
43,1727774854.4262674,0,42,0,17008,0.0
44,1727774854.4595494,0,42,0,17008,0.0
45,1727774837.7145417,0,42,0,17008,0.0
46,1727774871.3044035,0,42,0,17008,0.0
47,1727774871.3379416,0,42,0,17008,0.0
48,1727774854.592934,0,42,0,17008,0.0
49,1727774854.6262162,0,42,0,17008,0.0
50,1727774854.6594982,0,42,0,17008,0.0
51,1727774854.6927803,0,42,0,17008,0.0
52,1727774837.9480286,0,42,0,17008,0.0
53,1727774871.5378904,0,42,0,17008,0.0
54,1727774854.7928827,0,42,0,17008,0.0
55,1727774854.826165,0,42,0,17008,0.0
